# x,y,phi,v_x,v_y,r
-2.869729883968830109e-03,1.451116334646940231e-02,1.575022713917524797e+00,4.209368932972648580e-01,8.418950155113584521e-02,5.089057683944702148e-01
-2.869729883968830109e-03,1.451116334646940231e-02,1.575022713917524797e+00,4.209368932972648580e-01,8.418950155113584521e-02,5.089057683944702148e-01
-2.063521882519125938e-03,1.889625936746597290e-02,1.574886879647068305e+00,5.489550961690606856e-01,-7.699245607321024421e-02,-8.125000633299350739e-03
-2.063521882519125938e-03,1.889625936746597290e-02,1.574886879647068305e+00,5.489550961690606856e-01,-7.699245607321024421e-02,-8.125000633299350739e-03
5.937890382483601570e-04,3.408684954047203064e-02,1.572080216332075508e+00,9.051272833894011827e-01,-1.475191300812204453e-01,-1.616890877485275269e-01
4.874768666923046112e-03,5.379823222756385803e-02,1.568287409824004719e+00,1.133784494943815391e+00,-2.333783589874783293e-01,-2.172372639179229736e-01
4.874768666923046112e-03,5.379823222756385803e-02,1.568287409824004719e+00,1.133784494943815391e+00,-2.333783589874783293e-01,-2.172372639179229736e-01
1.050179265439510345e-02,7.771171629428863525e-02,1.562384403833611657e+00,1.372362820615164569e+00,-2.988575678670428171e-01,-3.506781160831451416e-01
1.050179265439510345e-02,7.771171629428863525e-02,1.562384403833611657e+00,1.372362820615164569e+00,-2.988575678670428171e-01,-3.506781160831451416e-01
1.708123832941055298e-02,1.048992201685905457e-01,1.555752502587303354e+00,1.621484176863965843e+00,-3.543568024827787322e-01,-3.769589960575103760e-01
1.708123832941055298e-02,1.048992201685905457e-01,1.555752502587303354e+00,1.621484176863965843e+00,-3.543568024827787322e-01,-3.769589960575103760e-01
2.491680160164833069e-02,1.376674175262451172e-01,1.547678363021740999e+00,1.873641692025546535e+00,-3.910721824021211601e-01,-4.613009691238403320e-01
3.362539783120155334e-02,1.747666448354721069e-01,1.538955916062326068e+00,2.135728338338812371e+00,-4.200198604820827297e-01,-4.997324645519256592e-01
3.362539783120155334e-02,1.747666448354721069e-01,1.538955916062326068e+00,2.135728338338812371e+00,-4.200198604820827297e-01,-4.997324645519256592e-01
4.329016059637069702e-02,2.162195742130279541e-01,1.529485697258726518e+00,2.396994395434213665e+00,-4.475966517671383649e-01,-5.463623404502868652e-01
4.329016059637069702e-02,2.162195742130279541e-01,1.529485697258726518e+00,2.396994395434213665e+00,-4.475966517671383649e-01,-5.463623404502868652e-01
5.369901657104492188e-02,2.618708610534667969e-01,1.519642701610475655e+00,2.661782635248789664e+00,-4.598796709687759110e-01,-5.692867040634155273e-01
5.369901657104492188e-02,2.618708610534667969e-01,1.519642701610475655e+00,2.661782635248789664e+00,-4.598796709687759110e-01,-5.692867040634155273e-01
6.483866274356842041e-02,3.119043707847595215e-01,1.509602524397124945e+00,2.928042918119674543e+00,-4.632142609521772703e-01,-5.295922160148620605e-01
