# dT,ddelta
-4.681187954447274535e-03,-9.623315620259489944e-02
-1.050934957977367468e-03,-8.529028755065205802e-02
-5.838350636278022421e-09,0.000000000000000000e+00
1.534454184512479280e-03,-7.456032584576537114e-02
8.524697614475940100e-09,0.000000000000000000e+00
3.006547689042571303e-03,-6.470893563751345390e-02
3.500622662513941385e-03,-5.543088403094760530e-02
1.944770317008348570e-08,0.000000000000000000e+00
3.320530044488567700e-03,-4.469508002639201866e-02
1.844728675370888027e-08,0.000000000000000000e+00
3.015500866140885527e-03,-3.330493547535386123e-02
1.675268951339958790e-08,0.000000000000000000e+00
2.181560690785178114e-03,-2.075853357330018772e-02
1.533529068724337474e-03,-9.790751766834910122e-03
8.519492056269228897e-09,0.000000000000000000e+00
5.134044748861255059e-04,-1.706788656085939798e-04
2.852230951422285443e-09,0.000000000000000000e+00
1.501815706655973415e-04,8.024941115080969772e-03
-3.521307913617599539e-04,1.610941528364245867e-02
-1.956275419434660989e-09,0.000000000000000000e+00
-5.305517841974749516e-04,2.734872430741792579e-02
-2.947493638050247000e-09,0.000000000000000000e+00
-5.122449756242430929e-04,3.979430404221148687e-02
-7.601230191570107486e-04,5.085622987733207090e-02
-4.222866500924737920e-09,0.000000000000000000e+00
-6.493534621856977829e-04,6.105896832013442410e-02
-3.607499021729410060e-09,0.000000000000000000e+00
-2.732837733013249171e-04,6.744853644196402431e-02
-1.518234149511243913e-09,0.000000000000000000e+00
1.708660041552234610e-04,7.315816389875534620e-02
5.273685676127071176e-04,7.464780027291192943e-02
2.929803621931625912e-09,0.000000000000000000e+00
1.177967419628556112e-03,7.577587212381207971e-02
6.544227659777135386e-09,0.000000000000000000e+00
1.648296341173749457e-03,7.464546241196809429e-02
1.999217702598754531e-03,7.115955840000043331e-02
1.110665170944713509e-08,0.000000000000000000e+00
2.313308218104825897e-03,6.756440716806305646e-02
1.285164058506538254e-08,0.000000000000000000e+00
2.412988623294587409e-03,6.458548739195482669e-02
2.184077725504718348e-03,5.986174897558860925e-02
1.213362327279199349e-08,0.000000000000000000e+00
2.079288546599777909e-03,5.533791691050447131e-02
1.155153889209614704e-08,0.000000000000000000e+00
1.836139096043909458e-03,5.284158310909217032e-02
1.020071527246813048e-08,0.000000000000000000e+00
1.513649672008066105e-03,4.939297265469420883e-02
1.351783744134305021e-03,4.565608119109672292e-02
7.509821930984372784e-09,0.000000000000000000e+00
9.815222287254399269e-04,4.221118481615108303e-02
5.452871487676702600e-09,0.000000000000000000e+00
1.022340349197958798e-03,3.789380727470658544e-02
6.735526598466989867e-04,3.464554100135030373e-02
3.741906784426873855e-09,0.000000000000000000e+00
5.884495149557911198e-04,3.042933470800094492e-02
3.269146064965866572e-09,0.000000000000000000e+00
3.639397619811801654e-04,2.779997501873524707e-02
2.021875722402199926e-09,0.000000000000000000e+00
2.688486080856811178e-04,2.595914069885071201e-02
-6.455339796040959754e-05,2.313164182405624825e-02
-3.586367314234450987e-10,0.000000000000000000e+00
4.480143261931246457e-05,2.008855984717700105e-02
2.488953487755907190e-10,0.000000000000000000e+00
-1.240962860984962113e-04,1.900101425415974543e-02
-9.941729775947427683e-05,1.690185932363384713e-02
-5.523109747329613128e-10,0.000000000000000000e+00
-2.086672989828897151e-04,1.507197707853701052e-02
-1.159257412286507360e-09,0.000000000000000000e+00
-1.492937837230257081e-04,1.521194452637382455e-02
-8.294059883340310080e-10,0.000000000000000000e+00
-2.384706216190801698e-04,1.579566461461061333e-02
-3.208906306229053484e-05,1.740057762500621386e-02
-1.782643477277190414e-10,0.000000000000000000e+00
5.162047714141193566e-05,2.011874043269367557e-02
2.867789339333626231e-10,0.000000000000000000e+00
2.464839934185336645e-04,2.372083662163602252e-02
6.139615523606534175e-04,2.588430278073119289e-02
3.410870197395610148e-09,0.000000000000000000e+00
9.515869334855708850e-04,2.838369987673058231e-02
5.286564241924196494e-09,0.000000000000000000e+00
1.271715648766547080e-03,3.191087002841520859e-02
1.614867155987076419e-03,3.316500019356679457e-02
8.971395848433871834e-09,0.000000000000000000e+00
1.864752467445329742e-03,3.482603834352934746e-02
1.035967839291274117e-08,0.000000000000000000e+00
2.135114364477941340e-03,3.670711790545368863e-02
1.186168108180396530e-08,0.000000000000000000e+00
2.201671181949194089e-03,3.764628535081644689e-02
2.413735825464169427e-03,3.827833271947394395e-02
1.340949989936390807e-08,0.000000000000000000e+00
2.398696995312143976e-03,3.972139943532702888e-02
1.332602084236356177e-08,0.000000000000000000e+00
2.376302507414718157e-03,3.922027579011198167e-02
2.413070841277009659e-03,3.950809693729767647e-02
1.340580146891312552e-08,0.000000000000000000e+00
2.291382060905233775e-03,4.135209521958539691e-02
1.272982830258229114e-08,0.000000000000000000e+00
2.261210525163204199e-03,3.983260580992659117e-02
2.345866804265295258e-03,3.922440246483700765e-02
1.303245150685583553e-08,0.000000000000000000e+00
2.133339642242104706e-03,4.076458416321475375e-02
1.185182091356651313e-08,0.000000000000000000e+00
2.185415758883257897e-03,3.983122883387327229e-02
2.321338834182506972e-03,3.890056549472990788e-02
1.289618689614968616e-08,0.000000000000000000e+00
2.120391586662995209e-03,4.009768359163230766e-02
1.177988817602226845e-08,0.000000000000000000e+00
2.120883346271029701e-03,4.036848795143724300e-02
1.178262071244162712e-08,0.000000000000000000e+00
2.166655129043348893e-03,3.924919004254477650e-02
2.161671561445865919e-03,3.900648784051080620e-02
1.200915339394370562e-08,0.000000000000000000e+00
2.347938997053489185e-03,3.962191491786795638e-02
1.304403252078145670e-08,0.000000000000000000e+00
2.777456421617086058e-02,3.993452649391007747e-02
1.340496661821150015e-01,4.738975236283568537e-02
7.447153727024868886e-07,0.000000000000000000e+00
7.408389875482312981e-02,5.101784007868932769e-02
4.115749296929038792e-07,0.000000000000000000e+00
5.808299948124318046e-02,5.033808864046314391e-02
3.226815384338443948e-07,0.000000000000000000e+00
2.177082286045212145e-02,5.065029781071705983e-02
6.473234384718473677e-03,5.130919684336564257e-02
3.596154068974399820e-08,0.000000000000000000e+00
-3.132847322175058569e-03,5.069697128268560449e-02
-1.740461108568069903e-08,0.000000000000000000e+00
-2.509640072795304988e-03,5.018818117765236342e-02
-1.394236809337812133e-08,0.000000000000000000e+00
-1.864781018684480429e-03,4.793582302236934489e-02
6.905340096817480511e-03,4.865995495094595225e-02
